,z,y,x
105,85,254.330708661,285.344170688
106,85,289.992379985,270.993141986
107,11,254.660909322,274.676149352
108,40,259.334518669,282.677165354
109,37,264.668529337,250.342900686
110,43,248.336296673,300.660401321
111,80,276.657353315,280.340360681
112,82,264.998729997,267.005334011
113,84,264.668529337,244.323088646
114,72,226.009652019,278.003556007
115,73,220.675641351,304.013208026
116,80,227.330454661,300.0
117,67,219.98983998,272.009144018
118,64,213.00482601,310.668021336
119,57,225.679451359,305.003810008
120,50,236.677673355,300.660401321
121,49,261.671323343,265.989331979
122,49,259.334518669,289.992379985
123,46,228.676657353,273.66014732
124,44,226.67005334,281.000762002
125,46,238.328676657,289.331978664
126,58,209.677419355,283.667767336
127,87,251.003302007,298.323596647
128,87,248.666497333,296.012192024
129,70,211.988823978,293.34518669
130,54,206.324612649,273.990347981
131,10,225.679451359,291.998983998
132,8,193.675387351,292.989585979
133,5,190.678181356,278.003556007
134,17,147.675895352,246.329692659
135,15,202.997205994,156.007112014
136,15,200.0,162.331724663
137,63,306.65481331,207.010414021
138,1,126.67005334,251.663703327
139,9,99.0093980188,245.008890018
140,5,129.667259335,187.655575311
141,10,158.674117348,200.660401321
142,26,139.67487935,342.011684023
143,28,145.999491999,316.002032004
144,28,136.322072644,162.992125984
145,35,101.346202692,243.002286005
146,37,96.0121920244,233.32486665
147,36,118.008636017,232.994665989
148,57,124.993649987,235.001270003
149,34,79.3243586487,265.328930658
150,41,92.6593853188,250.342900686
151,64,88.6715773432,259.664719329
152,67,99.3395986792,257.327914656
153,59,132.994665989,253.34010668
154,51,143.992887986,345.999491999
155,67,124.993649987,207.670815342
156,92,134.671069342,230.988061976
157,95,143.002286005,245.339090678
158,94,164.338328677,240.665481331
159,94,151.003302007,244.323088646
160,57,111.328422657,194.005588011
161,57,102.997205994,189.331978664
162,22,113.995427991,263.677927356
163,5,112.344424689,186.66497333
164,1,140.00508001,257.327914656
165,3,153.34010668,211.988823978
166,3,157.327914656,188.011176022
167,5,162.331724663,175.336550673
168,39,86.3347726695,248.006096012
169,53,114.655829312,281.000762002
170,75,116.332232664,197.332994666
171,78,97.9933959868,154.000508001
172,90,186.004572009,324.003048006
173,58,86.6649733299,270.332740665
174,49,97.332994666,248.666497333
175,22,88.0111760224,243.992887986
176,23,40.0050800102,207.340614681
177,64,79.6545593091,267.005334011
178,49,59.6647193294,170.662941326
179,11,24.3332486665,280.01016002
180,83,58.6741173482,323.342646685
181,83,103.987807976,301.346202692
182,77,80.0101600203,315.011430023
183,79,107.010414021,292.329184658
184,79,183.667767336,332.004064008
185,97,177.673355347,334.340868682
186,50,273.990347981,198.679197358
187,49,254.660909322,199.66979934
188,2,253.34010668,197.002794006
