,z,y,x
105,85,289.992379985,270.993141986
106,11,254.660909322,274.676149352
107,40,259.334518669,282.677165354
108,37,264.668529337,250.342900686
109,43,248.336296673,300.660401321
110,80,276.657353315,280.340360681
111,82,264.998729997,267.005334011
112,84,264.668529337,244.323088646
113,72,226.009652019,278.003556007
114,73,220.675641351,304.013208026
115,80,227.330454661,300.0
116,67,219.98983998,272.009144018
117,64,213.00482601,310.668021336
118,57,225.679451359,305.003810008
119,50,236.677673355,300.660401321
120,49,261.671323343,265.989331979
121,49,259.334518669,289.992379985
122,46,228.676657353,273.66014732
123,44,226.67005334,281.000762002
124,46,238.328676657,289.331978664
125,58,209.677419355,283.667767336
126,87,251.003302007,298.323596647
127,87,248.666497333,296.012192024
128,70,211.988823978,293.34518669
129,54,206.324612649,273.990347981
130,10,225.679451359,291.998983998
131,8,193.675387351,292.989585979
132,5,190.678181356,278.003556007
133,17,147.675895352,246.329692659
134,15,202.997205994,156.007112014
135,15,200.0,162.331724663
136,63,306.65481331,207.010414021
137,1,126.67005334,251.663703327
138,9,99.0093980188,245.008890018
139,5,129.667259335,187.655575311
140,10,158.674117348,200.660401321
141,26,139.67487935,342.011684023
142,28,145.999491999,316.002032004
143,28,136.322072644,162.992125984
144,35,101.346202692,243.002286005
145,37,96.0121920244,233.32486665
146,36,118.008636017,232.994665989
147,57,124.993649987,235.001270003
148,34,79.3243586487,265.328930658
149,41,92.6593853188,250.342900686
150,64,88.6715773432,259.664719329
151,67,99.3395986792,257.327914656
152,59,132.994665989,253.34010668
153,51,143.992887986,345.999491999
154,67,124.993649987,207.670815342
155,92,134.671069342,230.988061976
156,95,143.002286005,245.339090678
157,94,164.338328677,240.665481331
158,94,151.003302007,244.323088646
159,57,111.328422657,194.005588011
160,57,102.997205994,189.331978664
161,22,113.995427991,263.677927356
162,5,112.344424689,186.66497333
163,1,140.00508001,257.327914656
164,3,153.34010668,211.988823978
165,3,157.327914656,188.011176022
166,5,162.331724663,175.336550673
167,39,86.3347726695,248.006096012
168,53,114.655829312,281.000762002
169,75,116.332232664,197.332994666
170,78,97.9933959868,154.000508001
171,90,186.004572009,324.003048006
172,58,86.6649733299,270.332740665
173,49,97.332994666,248.666497333
174,22,88.0111760224,243.992887986
175,23,40.0050800102,207.340614681
176,64,79.6545593091,267.005334011
177,49,59.6647193294,170.662941326
178,11,24.3332486665,280.01016002
179,83,58.6741173482,323.342646685
180,83,103.987807976,301.346202692
181,77,80.0101600203,315.011430023
182,79,107.010414021,292.329184658
183,79,183.667767336,332.004064008
184,97,177.673355347,334.340868682
185,50,273.990347981,198.679197358
186,49,254.660909322,199.66979934
187,2,253.34010668,197.002794006
188,99,89.9923799848,238.658877318
189,99,78.0035560071,245.999491999
190,99,125.323850648,243.332486665
191,99,124.003048006,247.345694691
192,99,249.326898654,219.98983998
193,97,275.336550673,202.006604013
194,91,273.32994666,205.994411989
195,99,272.669545339,229.997459995
196,99,275.996951994,221.996443993
197,99,129.997459995,286.004572009
198,99,267.995935992,283.337566675
199,99,170.662941326,325.323850648
200,0,300.0,175.996951994
201,0,257.988315977,199.009398019
202,0,191.998983998,184.988569977
203,27,216.51003302,200.990601981
